Name,Division,Season,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Dallas Stars,Central,2023-24,29.3,82,52,21,9,113,.689,294,232,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,2588,8.6,2350,.919,100.5,4,8.6,.919,100.5,4256,3666,53.7,182.3,151.5,192,160,1,1977,1647,54.6,633,540,54.0,73,10.3,71,11.6
Winnipeg Jets,Central,2023-24,29.4,82,52,24,6,110,.671,259,198,0.69,-0.04,3.16,2.41,45,240,18.75,51,223,77.13,3,5,2488,8.2,2429,.940,102.2,8,8.2,.940,102.2,3990,3742,51.6,171.1,161.9,178,121,48,1800,1718,51.2,602,615,49.5,65,9.7,49,7.4
Colorado Avalanche,Central,2023-24,28.8,82,50,25,7,107,.652,302,252,0.57,-0.05,3.68,3.07,68,278,24.46,53,264,79.92,7,6,2705,8.6,2444,.917,100.4,4,8.6,.917,100.4,4194,3690,53.2,184.5,163.6,196,168,7,1906,1677,53.2,661,609,52.0,64,8.8,70,10.3
Nashville Predators,Central,2023-24,29.5,82,47,30,5,99,.604,266,248,0.23,-0.02,3.24,3.02,58,269,21.56,57,247,76.92,7,5,2642,7.6,2507,.927,100.4,4,7.6,.927,100.4,4052,3765,51.8,182.3,168.7,168,153,1,1901,1743,52.2,650,601,52.0,72,10.0,55,8.4
St. Louis Blues,Central,2023-24,29.0,82,43,33,6,92,.561,234,248,-0.14,-0.01,2.85,3.02,45,250,18.00,46,215,78.60,11,7,2370,7.7,2636,.927,100.4,4,7.7,.927,100.4,3469,4088,45.9,157.5,183.7,151,167,10,1617,1944,45.4,543,680,44.4,54,9.0,67,9.0
Minnesota Wild,Central,2023-24,29.3,82,39,34,9,87,.530,248,260,-0.14,0.01,3.02,3.17,62,273,22.71,67,263,74.52,3,11,2471,8.2,2437,.917,99.9,6,8.2,.917,99.9,3710,3662,50.3,151.2,149.3,159,163,-6,1656,1577,51.2,541,501,51.9,64,10.6,52,9.4
Arizona Coyotes,Central,2023-24,26.7,82,36,41,5,77,.470,254,274,-0.21,0.01,3.10,3.34,53,241,21.99,63,266,76.32,7,7,2273,8.8,2598,.920,100.8,7,8.8,.920,100.8,3707,3856,49.0,160.9,180.1,171,171,19,1763,1817,49.2,618,622,49.8,67,9.8,63,9.2
Chicago Blackhawks,Central,2023-24,27.4,82,23,53,6,52,.317,178,289,-1.29,0.06,2.17,3.52,39,235,16.60,56,231,75.76,3,8,2153,6.5,2681,.915,98.1,1,6.5,.915,98.1,3384,4257,44.3,143.8,194.0,118,202,-34,1483,2074,41.7,503,716,41.3,51,9.2,68,8.7
Vancouver Canucks,Pacific,2023-24,28.6,82,50,23,9,109,.665,279,221,0.64,-0.04,3.40,2.70,58,257,22.57,53,254,79.13,7,7,2328,9.6,2343,.928,102.4,7,9.6,.928,102.4,3750,3459,52.0,168.1,159.1,187,136,42,1737,1593,52.2,613,585,51.2,82,11.8,57,8.9
Edmonton Oilers,Pacific,2023-24,29.4,82,49,27,6,104,.634,292,236,0.65,-0.04,3.56,2.88,64,243,26.34,53,258,79.46,7,5,2768,8.1,2307,.921,100.2,4,8.1,.921,100.2,4303,3431,55.6,209.0,158.7,193,153,-10,2106,1687,55.5,765,547,58.3,93,10.8,61,10.0
Los Angeles Kings,Pacific,2023-24,29.5,82,44,27,11,99,.604,254,210,0.45,-0.05,3.10,2.56,56,248,22.58,39,253,84.58,11,7,2616,7.3,2296,.923,99.6,7,7.3,.923,99.6,4160,3486,54.4,169.6,146.3,165,143,-1,1843,1593,53.6,645,540,54.4,67,9.4,61,10.1
Vegas Golden Knights,Pacific,2023-24,29.0,82,45,29,8,98,.598,263,243,0.22,-0.05,3.21,2.96,51,252,20.24,44,213,79.34,9,8,2548,8.1,2487,.923,100.4,3,8.1,.923,100.4,3977,4135,49.0,174.0,164.6,176,163,4,1787,1847,49.2,648,654,49.8,64,9.0,67,9.3
Calgary Flames,Pacific,2023-24,29.2,82,38,39,5,81,.494,253,267,-0.20,0.02,3.09,3.26,45,252,17.86,47,245,80.82,11,11,2572,7.7,2438,.913,99.0,2,7.7,.913,99.0,4122,3851,51.7,170.3,172.5,167,181,-12,1827,1813,50.2,662,627,51.4,63,8.7,61,8.9
Seattle Kraken,Pacific,2023-24,29.4,82,34,35,13,81,.494,214,232,-0.26,-0.03,2.61,2.83,50,242,20.66,47,222,78.83,6,9,2347,7.1,2391,.928,100.0,5,7.1,.928,100.0,4033,3753,51.8,155.1,148.1,144,146,-9,1790,1705,51.2,598,583,50.6,46,7.1,52,8.2
Anaheim Ducks,Pacific,2023-24,27.7,82,27,50,5,59,.360,203,293,-1.09,0.02,2.48,3.57,43,235,18.30,91,330,72.42,12,5,2194,7.1,2666,.917,98.8,1,7.1,.917,98.8,3339,3787,46.9,142.3,173.3,127,174,-16,1556,1793,46.5,520,632,45.1,52,9.1,78,11.0
San Jose Sharks,Pacific,2023-24,27.7,82,19,54,9,47,.287,180,326,-1.78,0.05,2.20,3.98,42,208,20.19,62,252,75.40,3,8,2069,6.6,2881,.909,97.5,2,6.6,.909,97.5,3565,4464,44.4,135.8,210.9,119,226,-32,1535,2202,41.1,559,751,42.7,44,7.3,82,9.8
